Code_Agence,Composante,Modele,MAPE,Statut
00010,encaissements,xgboost,102.89%,TOP2_TEST
00010,encaissements,prophet,47.29%,TOP2_TEST
00010,encaissements,arima,54.00%,
00010,encaissements,moving_avg,29.63%,MEILLEUR
00010,encaissements,ensemble_post,30.88%,ENSEMBLE_POST
00010,encaissements,ensemble_top2_cv1,59.33%,ENSEMBLE_CV
00010,encaissements,ensemble_top2_cv3,67.11%,ENSEMBLE_CV
00010,decaissements,xgboost,50.36%,TOP2_TEST
00010,decaissements,prophet,34.36%,
00010,decaissements,arima,19.74%,MEILLEUR
00010,decaissements,moving_avg,20.32%,
00010,decaissements,ensemble_post,19.58%,ENSEMBLE_POST
00010,decaissements,ensemble_top2_cv4,30.96%,ENSEMBLE_CV
00010,decaissements,ensemble_top2_cv6,31.18%,ENSEMBLE_CV
00010,Besoin,xgboost,90.52%,MEILLEUR
00010,Besoin,prophet,226.73%,
00010,Besoin,arima,94.32%,TOP2_TEST
00010,Besoin,moving_avg,97.60%,
00010,Besoin,ensemble_post,92.38%,ENSEMBLE_POST
00010,Besoin,ensemble_top2_cv0,92.49%,ENSEMBLE_CV
00010,Besoin,ensemble_top2_cv6,92.56%,ENSEMBLE_CV
